"Block","Plot","N","P","K+","FullTreatment","Forb","Grass","Legume","Total"
1,1,0,0,0,"C",8.432,6.937,0,15.369
1,2,0,0,1,"K",2.083,10.596,0,12.679
1,3,0,1,0,"P",8.303,8.075,0,16.378
1,4,1,0,0,"N",9.681,15.827,0,25.508
1,5,0,1,1,"P+K",11.923,3.712,0.841,16.476
1,6,1,0,1,"N+K",13.75,6.428,0,20.178
1,7,1,1,0,"N+P",21.359,21.041,0,42.4
1,8,1,1,1,"N+P+K",12.642,20.329,0,32.971
1,9,0,0,0,"C",7.183,10.221,0.153,17.557
1,10,1,1,1,"N+P+K",11.298,15.914,0,27.212
2,1,0,0,0,"C",4.03,8.426,0,12.456
2,2,0,0,1,"K",12.785,7.96,0,20.745
2,3,0,1,0,"P",6.382,5.918,0,12.3
2,4,1,0,0,"N",9.341,14.205,0,23.546
2,5,0,1,1,"P+K",8.566,7.736,0,16.302
2,6,1,0,1,"N+K",8.631,10.11,0,18.741
2,7,1,1,0,"N+P",3.968,30.991,0,34.959
2,8,1,1,1,"N+P+K",17.572,17.028,0,34.6
2,9,0,0,0,"C",4.411,16.702,0,21.113
2,10,1,1,1,"N+P+K",10.134,18.507,0,28.641
3,1,0,0,0,"C",2.37,4.496,0,6.866
3,2,0,0,1,"K",3.295,7.611,0,10.906
3,3,0,1,0,"P",3.038,7.38,0,10.418
3,4,1,0,0,"N",3.145,15.075,0,18.22
3,5,0,1,1,"P+K",7.976,10.759,0,18.735
3,6,1,0,1,"N+K",3.582,11.229,0,14.811
3,7,1,1,0,"N+P",12.345,14.791,0,27.136
3,8,1,1,1,"N+P+K",11.772,10.318,0,22.09
3,9,0,0,0,"C",4.244,6.753,0,10.997
3,10,1,1,1,"N+P+K",9.753,20.515,0,30.268
4,1,0,0,0,"C",6.892,5.511,0,12.403
4,2,0,0,1,"K",5.183,6.757,2.267,14.207
4,3,0,1,0,"P",10.522,6.826,0,17.348
4,4,1,0,0,"N",5.12,11.577,0,16.697
4,5,0,1,1,"P+K",2.524,9.37,0.501,12.395
4,6,1,0,1,"N+K",11.48,6.82,0,18.3
4,7,1,1,0,"N+P",13.136,18.155,0,31.291
4,8,1,1,1,"N+P+K",18.92,37.53,0,56.45
4,9,0,0,0,"C",3.768,5.939,0,9.707
4,10,1,1,1,"N+P+K",16.912,12.764,0,29.676
