eco_year,sumallPC1,sumallPC2,sum_meanT,sum_precip,sum_moisturedeficit,sum_PET,sum_GDD,fivedayrunning5C,fivedayrunning12C,GSLthreedayneg3C,iceoff_GL4
1982,-1.37440507991934,0.25662034073735,7.37054347826087,196,4.59639330492153,198.591922249325,350.779167006872,81,57,103,207
1983,-1.31151092888714,-0.0896839142627443,7.91086956521739,216,0,198.171017787232,373.542344088183,85,50,99,208
1984,-1.21295110840463,-0.569830662544052,7.86282608695652,327,0.742744449653369,203.619985862254,359.41088023668,72,51,111,201
1985,-0.058505306409976,1.29120385346543,8.18326086956522,99,44.8682723185824,211.150708947312,399.478436882137,46,37,124,187
1986,-0.789006088551603,0.494718464494946,7.78413043478261,165,10.5476477688643,207.434812006303,363.974286635261,62,46,118,201
1987,0.620644277352418,0.28598638048217,9.78836956521739,170,13.5368795138338,211.266827237082,493.18952668892,4,10,140,178
1988,1.03104703498188,0.753009297991775,10.8821739130435,91,58.4679246826798,222.620211271504,566.281689588867,43,15,131,189
1989,-0.141645412624523,0.901052411927779,8.89619565217391,145,30.6264011843059,202.463731886958,447.150498137262,9,46,119,192
1990,-0.0770907984727281,-0.428488026594465,9.65684782608696,248,4.31438868948912,210.906161612332,490.051785121113,50,36,140,189
1991,-0.463180815845949,-0.271516579621169,8.96913043478261,242,12.7674726214635,208.713742247257,428.331159579001,69,41,122,189
1992,-0.312695037829811,0.650556321912847,8.77717391304348,184,12.1425549082803,201.23381454263,417.232125572143,42,43,150,189
1993,-0.379103786659527,1.73681195750861,8.25336956521739,167,57.3718200773055,206.332389933348,390.730757906168,64,42,152,216
1994,0.847106029579052,0.578980128094613,10.4922826086957,132,40.0447847610081,217.07912471662,537.367408544805,47,17,152,180
1995,-0.76073148097509,-0.380105130116071,9.17239130434783,334,28.0136261669925,207.564111839786,463.354459558032,75,44,117,220
1996,0.642196890244655,0.779843681051791,10.163152173913,124,40.9499325246681,218.78595318016,508.778430652058,39,14,140,199
1997,-0.295814986360469,0.183096234098238,9.20630434782609,207,13.7363057379347,208.613557956364,438.964044132381,66,33,139,200
1998,-0.800943207383913,-0.35823827712383,8.67967391304348,310,2.84473766806371,196.588674388709,422.417988705481,62,31,122,200
1999,-0.626565030366716,-1.00131173695824,9.18630434782609,367,8.15015931255485,213.077794440888,437.719511633096,78,49,134,195
2000,0.636664393164334,-0.0592194606470321,10.4247826086957,160,21.1414909010522,214.080775086136,541.058303590336,46,4,128,183
2001,-0.206803532783983,-1.34472514152418,10.0969565217391,246,1.64576016847295,214.467397401086,511.634962905304,57,37,86,183
2002,1.2325003985382,-0.65411294146127,11.5413043478261,161,32.724148734814,227.767076892278,627.041757815893,36,28,130,159
2003,0.431442113752416,0.135262371710132,10.1732608695652,204,21.1280852328305,214.137978691409,533.86262311247,41,25,155,193
2004,-0.764286324086575,-0.0752633664097154,7.6825,271,3.23239618854711,200.966570066848,359.620557398475,21,35,103,189
2005,-0.103314418331666,0.25962355557441,9.27880434782609,215,17.8904067260077,203.726925186314,463.730394512238,46,20,132,196
2006,0.532568352509731,-0.323622038707527,10.2882608695652,219,24.8119888330122,222.096049372449,516.384009082175,38,20,130,186
2007,0.247361922767852,-0.998537247240487,10.6978260869565,228,19.2017176408315,219.660250701806,568.477724384364,58,41,110,182
2008,-0.251174236387914,-0.616325978237094,9.52684782608696,239,7.4135881105102,210.329340405761,492.694691048105,66,32,116,192
2009,-0.553536511355956,0.715479296364794,8.29739130434783,153,18.6461338997646,205.51554059184,397.423990978822,53,52,130,196
2010,-0.0456524797893901,0.110326286006088,9.37467391304348,192,7.57549825823303,209.317791719517,451.943619632566,44,28,138,191
2011,-0.123997066104623,-1.01184683730283,10.4964130434783,313,5.51960534081757,219.817929844006,545.447017910698,67,35,139,217
2012,1.13227073563419,-1.35158211727025,11.8419565217391,270,18.9322105732396,228.762768756816,650.314875225887,16,31,135,168
2013,0.589747674824998,-0.696383375200163,10.9015217391304,177,5.63994801644026,221.572858821021,573.412,58,15,133,188
2014,-0.171835874841035,0.313875326592005,9.2745652173913,182,11.6974607610249,205.157437573694,466.1,50,33,139,196
2015,0.638321506621848,0.52423682705599,10.5132608695652,154.89,26.6440372815799,213.84152815041,533.959,15,33,156,189
2016,0.604912266327246,-0.177666600581745,10.8598913043478,167,33.6964252753762,219.142603999419,572.2005,52,34,130,182
2017,0.44545943598386,-0.0116281316339491,10.4821739130435,187.71,26.0741689103871,218.965359264453,536.0155,16,32,126,199
2018,1.19250648008988,0.449404828367825,11.2511956521739,126.462,44.3241099438877,217.220451184899,605.525,52,8,157,177
