year,pet
1982,293.592716911872
1983,258.847809366481
1984,293.992327063361
1985,301.068518766149
1986,270.17140745629
1987,321.270008130593
1988,335.622726115305
1989,321.153968171896
1990,316.279040221824
1991,323.168136300257
1992,327.305276020611
1993,329.104384144715
1994,325.973925284264
1995,278.94385612577
1996,320.53347274935
1997,305.465807847453
1998,310.108467219816
1999,318.695975798017
2000,351.783519377544
2001,327.204902658996
2002,338.361340031474
2003,312.04026732614
2004,319.038056065655
2005,303.845018589567
2006,346.305595923912
2007,309.137191269828
2008,308.601303667802
2009,318.578009907354
2010,283.108768007371
2011,315.119172947606
2012,346.767670981159
2013,322.584248774542
2014,314.266583703399
2015,337.057075920112
2016,347.3526231125
2017,363.97849695123
2018,339.876128346585
