year,def
1982,32.8958785380655
1983,5.67937585295127
1984,16.6859521432972
1985,46.5858321352884
1986,31.8416899551592
1987,33.9306080612009
1988,94.5513351577627
1989,81.9259792765169
1990,47.8804867671337
1991,24.8994513651938
1992,42.2000582179007
1993,89.0209781146149
1994,75.5827373267096
1995,48.4357763289233
1996,70.4968939854542
1997,33.3896380644654
1998,26.6215488479387
1999,22.8101694799391
2000,39.0539263990718
2001,13.7462085386742
2002,39.1455063863434
2003,36.3243772752651
2004,16.0832186662575
2005,24.6295436708352
2006,56.545721633678
2007,40.3713148193401
2008,10.4349509652932
2009,22.2189914073638
2010,34.1476719794839
2011,43.9589338716685
2012,38.0432933413866
2013,25.7693201861683
2014,14.0784259815156
2015,37.3601761682896
2016,98.9322447230171
2017,58.6726602248679
2018,57.0197777687655
